close,high,low,open,timestamp,volume
22682.26,23760.87,22512.42,23166.09,1658448000,2025.58385843
22468.69,23005.68,21944.47,22696.19,1658534400,1010.85783614
22595.81,23006.77,22272.23,22468.7,1658620800,681.19673676
21306.56,22673.68,21250,22589.47,1658707200,2128.78016831
21259.78,21344.09,20700.13,21314.26,1658793600,1965.57798404
22969.04,23112.9,21047.7,21266.14,1658880000,2976.18882906
23853.11,24198.95,22600,22972.22,1658966400,3463.79018298
23785.31,24445,23438.5,23856.91,1659052800,2536.49166787
23644.58,24676,23523.29,23777.85,1659139200,1739.57494563
23322.53,24190.09,23241,23652.53,1659225600,1624.15172546
23282.92,23511.5,22861,23287.38,1659312000,1310.17180502
23001.52,23468.33,22665.98,23291.67,1659398400,1441.50641868
22835.88,23642.14,22686.12,22997.07,1659484800,1306.29502305
22615.24,23228.77,22400,22830.37,1659571200,1537.96629545
23326.4,23478,22587.94,22630.14,1659657600,2070.35989801
22956.61,23354.54,22919.76,23326.5,1659744000,672.14529689
23187.62,23411.55,22855.14,22946,1659830400,691.38337380
23821.68,24246.06,23169.64,23177.72,1659916800,1845.04091771
23164.78,23927.44,22880.22,23811.29,1660003200,1206.11169091
23964,24228,22668.57,23151.68,1660089600,2251.38844100
23959,24921,23867,23961,1660176000,1964.20432050
24407,24459,23615,23957,1660262400,1258.79271631
24456,24900,24301,24421,1660348800,891.42169723
24320,25053,24161,24459,1660435200,1360.86975366
24110,25212,23782,24324,1660521600,1764.96054871
23867,24250,23673,24103,1660608000,761.78640254
23340,24448,23176,23866,1660694400,1814.51630224
23201,23593,23103,23348,1660780800,888.93580166
20841,23202,20785,23192,1660867200,3558.42097480
21146,21368,20769,20840,1660953600,1475.27766281
21514,21778,21070,21150,1661040000,1070.76255950
21411,21530,20901,21517,1661126400,1428.98968096
21520,21672,20899,21404,1661212800,1237.15547461
21372,21892,21142,21523,1661299200,1825.65585841
21571,21813,21319,21364,1661385600,1134.96366241
20250,21870,20119,21550,1661472000,3482.09137780
20045,20376,19766,20242,1661558400,1322.83765891
19557,20159,19526,20044,1661644800,883.35771116
20302,20415,19557,19571,1661731200,1226.53390450
19819,20575,19552,20300,1661817600,2061.62816733
20059,20490,19822,19836,1661904000,2271.16555773
20128,20202,19573,20049,1661990400,1841.61890225
19959,20440,19762,20133,1662076800,1704.54970941
19840,20053,19667,19950,1662163200,454.45221631
20007,20025,19586,19840,1662249600,468.46460815
19794,20051,19634,20014,1662336000,975.96352852
18789,20181,18669,19799,1662422400,3216.97354596
19276,19456,18540,18808,1662508800,1946.27402334
19322,19454,19023,19301,1662595200,1759.19295086
21371,21610,19303,19327,1662681600,4009.32373236
21672,21814,21125,21371,1662768000,1355.39296702
21835,21871,21360,21663,1662854400,844.39459098
22401,22485,21565,21836,1662940800,2496.98699671
20177,22781,19862,22396,1663027200,3927.08003147
20233,20526,19623,20175,1663113600,2793.90630535
19691,20432,19500,20226,1663200000,2531.57116280
19802,19887,19330,19704,1663286400,2514.42684614
20114,20187,19757,19802,1663372800,947.27782708
19419,20116,19343,20116,1663459200,1609.63965374
19538,19679,18271,19418,1663545600,3418.21694020
18878,19634,18717,19535,1663632000,2544.25288865
18466,19902,18157,18877,1663718400,5332.93776764
19403,19541,18368,18458,1663804800,2607.04175970
19294,19491,18533,19411,1663891200,2593.18338023
18921,19309,18817,19291,1663977600,922.02394143
18810,19182,18636,18919,1664064000,979.44306377
19226,19313,18690,18809,1664150400,3167.38799752
19075,20381,18822,19233,1664236800,4423.71693902
19413,19770,18461,19085,1664323200,3817.64021997
19592,19630,18852,19413,1664409600,1812.62118977
19425,20171,19152,19593,1664496000,2413.78432301
19312,19484,19174,19419,1664582400,378.60698732
19051,19395,18931,19306,1664668800,518.03380521
19636,19715,18975,19060,1664755200,1109.13176723
20343,20469,19497,19633,1664841600,2455.54289220
20162,20366,19735,20343,1664928000,1789.84892196
19951,20447,19864,20161,1665014400,1438.88952495
19532,20056,19335,19960,1665100800,1290.58016407
19420,19624,19259,19533,1665187200,517.31876324
19445,19604,19324,19421,1665273600,707.27451611
19131,19525,19029,19436,1665360000,1052.98301829
19059,19265,18853,19131,1665446400,1332.93245318
19157,19229,18967,19061,1665532800,870.27070879
19377,19504,18183,19156,1665619200,2920.78208384
19181,19947,19083,19374,1665705600,1313.80111372
19066,19229,18990,19184,1665792000,331.43098278
19264,19425,19067,19072,1665878400,417.01160964
19547,19672,19160,19262,1665964800,1141.62350258
19334,19700,19099,19547,1666051200,1524.52635389
19126,19356,19078,19329,1666137600,1302.59535401
19043,19340,18913,19128,1666224000,1491.66449329
19165,19245,18660,19043,1666310400,1923.43991085
19206,19250,19118,19166,1666396800,455.42088912
19574,19689,19079,19208,1666483200,1195.62013587
19332,19588,19169,19576,1666569600,1155.86348440
20087,20418,19222,19332,1666656000,2804.51314609
20775,21012,20062,20096,1666742400,2711.06904662
20296,20872,20210,20771,1666828800,1669.88399576
20599,20750,20008,20295,1666915200,1827.61380674
20821,21078,20566,20596,1667001600,1213.18946622
20628,20931,20525,20820,1667088000,679.83876303
20498,20833,20243,20631,1667174400,1880.02456732
20480,20681,20334,20493,1667260800,1276.69180973
20154,20802,20055,20480,1667347200,2292.08236192
20209,20387,20039,20152,1667433600,1004.11893277
21153,21290,20184,20209,1667520000,3501.47535754
21301,21473,21089,21152,1667606400,774.12522007
20907,21364,20899,21299,1667692800,551.95849001
20590,21070,20400,20899,1667779200,1417.99563473
18550,20669,17114,20591,1667865600,12035.90178845
15877,18588,15632,18546,1667952000,8350.56544560
17551,18150,15748,15900,1668038400,8375.25692463
17007,17645,16394,17548,1668124800,5636.75561159
16788,17054,16610,17020,1668211200,1882.26415655
16310,17240,16263,16788,1668297600,2703.91194662
16589,17130,15784,16300,1668384000,7964.34006887
16874,17095,16511,16586,1668470400,5633.39934780
16654,16980,16371,16875,1668556800,4035.80042365
16686,16724,16412,16655,1668643200,2458.66689134
16683,16971,16540,16687,1668729600,2673.28041964
16690,16799,16548,16683,1668816000,1377.39639710
16256,16730,16169,16687,1668902400,1827.05676561
15766,16269,15479,16250,1668988800,5633.48780213
16197,16281,15613,15757,1669075200,3718.55455894
16603,16647,16150,16199,1669161600,3505.29313128
16591,16783,16456,16594,1669248000,2141.48446170
16508,16604,16339,16589,1669334400,2043.43507991
16454,16685,16387,16511,1669420800,1503.64131011
16424,16587,16402,16451,1669507200,1189.79470656
16210,16477,16004,16420,1669593600,3254.70177817
16434,16529,16102,16205,1669680000,2310.87079583
17170,17223,16430,16437,1669766400,4442.42726142
16977,17250,16864,17166,1669852800,3207.29094124
17095,17102,16800,16976,1669939200,2329.03284999
16886,17150,16868,17095,1670025600,1177.01264514
17114,17195,16890,16893,1670112000,1603.55160130
16968,17418,16879,17113,1670198400,2251.51957602
17087,17101,16914,16968,1670284800,1303.37122474
16836,17131,16736,17091,1670371200,1185.39328287
17229,17296,16734,16838,1670457600,1724.69349744
17128,17353,17073,17229,1670544000,1226.70564841
17128,17223,17100,17129,1670630400,677.74180701
17091,17264,17080,17128,1670716800,1239.35778560
17209,17240,16881,17089,1670803200,1695.05652530
17772,18106,17093,17214,1670889600,3838.86501115
17803,18373,17667,17771,1670976000,3836.86554644
17362,17853,17288,17806,1671062400,1887.37172156
16633,17525,16572,17361,1671148800,2853.96835966
16781,16794,16596,16635,1671235200,1114.37024438
16749,16850,16676,16780,1671321600,695.99091766
16446,16815,16293,16744,1671408000,2157.44154575
16898,17046,16402,16441,1671494400,2115.97889225
16824,16919,16719,16899,1671580800,1618.76729861
16821,16863,16570,16823,1671667200,1946.30526969
16779,16916,16750,16821,1671753600,2138.44668760
16839,16848,16779,16779,1671840000,960.32660970
16828,16850,16731,16839,1671926400,717.96557265
16917,16933,16801,16828,1672012800,731.85697007
16700,16961,16588,16920,1672099200,2204.70406525
16540,16772,16465,16699,1672185600,2220.78816676
16628,16650,16486,16540,1672272000,1560.43976985
16603,16650,16337,16628,1672358400,2223.64394181
16528,16627,16471,16602,1672444800,602.43437164
16615,16622,16496,16530,1672531200,473.83273801
16673,16782,16552,16615,1672617600,1046.72743680
16670,16766,16605,16668,1672704000,1388.07196613
16849,16984,16652,16673,1672790400,2038.03012252
16826,16871,16755,16847,1672876800,1131.61941681
16950,17024,16669,16826,1672963200,1738.57975267
16945,16975,16907,16951,1673049600,523.75442441
17119,17163,16915,16946,1673136000,816.57209307
17179,17393,17108,17124,1673222400,2213.34824624
17446,17490,17147,17177,1673308800,1354.43514717
17930,17992,17318,17448,1673395200,1904.45231601
18853,19114,17911,17948,1673481600,5124.55845338
19931,19991,18720,18852,1673568000,3765.27425920
20960,21247,19895,19936,1673654400,6843.48563958
20885,21052,20549,20961,1673740800,1352.72025796
21189,21456,20634,20879,1673827200,3236.95717404
21134,21594,20863,21186,1673913600,2302.39736137
20670,21646,20358,21136,1674000000,3794.75671744
21086,21185,20654,20678,1674086400,2391.67069084
22678,22750,20869,21085,1674172800,2937.14734339
22783,23362,22442,22670,1674259200,3013.23007247
22717,23076,22314,22791,1674345600,1548.97073883
22922,23167,22525,22708,1674432000,1699.03647700
22637,23162,22473,22922,1674518400,1953.73212508
23054,23815,22334,22636,1674604800,2582.12043347
23010,23282,22866,23063,1674691200,1472.74474346
23083,23500,22541,23011,1674777600,2086.70647505
23033,23187,22894,23082,1674864000,834.35222550
23746,23954,22981,23031,1674950400,1620.98279529
22831,23799,22504,23748,1675036800,2081.82272658
23127,23318,22724,22831,1675123200,1557.98459142
23735,23810,22768,23134,1675209600,2468.52240577
23498,24258,23377,23736,1675296000,2609.58252721
23434,23719,23212,23503,1675382400,1742.07112849
23330,23582,23266,23421,1675468800,778.73091268
22937,23428,22766,23328,1675555200,1525.50154971
22763,23148,22643,22942,1675641600,1731.60284453
23252,23338,22751,22761,1675728000,2758.47564405
22961,23439,22686,23246,1675814400,1236.37140064
21802,23003,21700,22965,1675900800,2260.78508530
